reduction_technique,clustering_algorithm,reduction_train_time,clustering_exec_time,n_clusters,calinski_harabasz,davies_bouldin,silhouette,adjusted_rand_index,feature_space
Raw,MiniBatchKMeans,0.0,2.2623276000085752,10,1174.9442226138362,2.013128423119936,0.11597707867622375,0.3528969616000671,raw
Raw,DBSCAN,0.0,1.2031923000031384,0,0.0,inf,-1.0,0.0,raw
Raw,Agglomerative,0.0,19.71358150000742,10,1116.1333813145388,1.9334623685581345,0.11086159199476242,0.3477874832212375,raw
Raw,GMM,0.0,44.771427699990454,10,1031.4820622464144,2.0628289339705193,0.12133531272411346,0.3346075007705622,raw
Raw,HDBSCAN,0.0,70.74723569999333,3,571.8764500081103,0.9106440363855922,0.4407258927822113,0.9422148818621927,raw
PCA,MiniBatchKMeans,0.31332620000466704,0.127811099999235,10,1747.8798993792172,1.6413735015717417,0.1826048493385315,0.36181611102850947,reduced
PCA,DBSCAN,0.31332620000466704,0.15045259999169502,0,0.0,inf,-1.0,0.0,reduced
PCA,Agglomerative,0.31332620000466704,3.1578762999997707,10,1563.9521105107249,1.5758580569497,0.1782480925321579,0.35440166775290305,reduced
PCA,GMM,0.31332620000466704,3.7642072000016924,10,1047.9112577916687,2.627021860565105,0.10865747183561325,0.4362885990172472,reduced
PCA,HDBSCAN,0.31332620000466704,1.6747699999978067,2,54.94767579572786,1.4550203524817726,0.09350019693374634,0.0028073609819283247,reduced
SAE,MiniBatchKMeans,128.17614320000575,0.17521610000403598,10,2179.9964704789354,1.6119555046957816,0.18499289453029633,0.2235195292883419,reduced
SAE,DBSCAN,128.17614320000575,0.10684120000223629,0,0.0,inf,-1.0,0.0,reduced
SAE,Agglomerative,128.17614320000575,2.963083699985873,10,1897.2121929733019,1.7157956907903067,0.12788328528404236,0.23832924071921535,reduced
SAE,GMM,128.17614320000575,4.998592200005078,10,808.0404544820399,2.6892895134705506,-0.012608730234205723,0.2972801521583433,reduced
SAE,HDBSCAN,128.17614320000575,1.657935399998678,2,219.4673691929243,1.0142897729835503,0.3068079948425293,0.05026070297938561,reduced
CNN-SAE,MiniBatchKMeans,1226.0809172000008,0.3507245999935549,10,1896.3438729143504,1.601649766634916,0.2027624249458313,0.36552747236282784,reduced
CNN-SAE,DBSCAN,1226.0809172000008,0.1287494999996852,0,0.0,inf,-1.0,0.0,reduced
CNN-SAE,Agglomerative,1226.0809172000008,3.6866755000082776,10,1862.6972514384438,1.4957120388523637,0.21563369035720825,0.3626075904012477,reduced
CNN-SAE,GMM,1226.0809172000008,3.3565387000126066,10,1368.1885788045165,2.4410285245369927,0.16084299981594086,0.45594067318684517,reduced
CNN-SAE,HDBSCAN,1226.0809172000008,1.7702876000112155,3,1628.8252881455444,1.3584905298940038,0.2395777553319931,0.17837102057312268,reduced
UMAP,MiniBatchKMeans,87.18678049999289,0.09440360000007786,10,20718.176033083346,0.7583733738751088,0.5192182660102844,0.5062187355858536,reduced
UMAP,DBSCAN,87.18678049999289,0.16206080000847578,5,8815.30646687916,0.8101543082293446,0.3036665618419647,0.29596588353922515,reduced
UMAP,Agglomerative,87.18678049999289,2.4189674999943236,10,20620.83897778889,0.7211799520438024,0.5082939267158508,0.47382423426460085,reduced
UMAP,GMM,87.18678049999289,1.3930707999970764,10,18907.82715316392,0.8728918874447407,0.4490220546722412,0.4733548803857638,reduced
UMAP,HDBSCAN,87.18678049999289,0.37782789999619126,4,11749.132452991762,0.6621561100370166,0.5484601855278015,0.29508348954462144,reduced
t-SNE,MiniBatchKMeans,271.7586300999974,0.21914400000241585,10,12172.90704166479,0.8137573927993834,0.40950465202331543,0.43254004639202315,reduced
t-SNE,DBSCAN,271.7586300999974,0.03444479999598116,164,133257.6849223785,0.17591092492178045,0.8614479303359985,0.07407093827354456,reduced
t-SNE,Agglomerative,271.7586300999974,1.8678862000087975,10,10493.128694733407,0.8541346867489883,0.3666602373123169,0.4598213923999202,reduced
t-SNE,GMM,271.7586300999974,0.20359569998981897,10,10094.94634718797,0.8793345628676944,0.36682286858558655,0.4348083869890768,reduced
t-SNE,HDBSCAN,271.7586300999974,0.1709151999966707,7,3895.8690313462885,0.7334364639659591,0.2335154116153717,0.2873405708433327,reduced
